centreline_id,arterycode,linear_name,description,comment
30002729,199,,,change mapping to CL 30002729
30002729,208,,,change mapping to CL 30002729
20042302,211,,,change mapping to CL 20042302
20059760,234,,,change mapping to CL 20059760
438191,247,,,change mapping to CL 438191
30018925,250,,,change mapping to CL 30018925
438191,255,,,change mapping to CL 438191
30069192,269,,,change mapping to CL 30069192
30057160,283,,,change mapping to CL 30057160
30074541,287,,,change mapping to CL 30074541
20091988,289,,,change mapping to CL 20091988
30093309,313,,,change mapping to CL 30093309
14671607,315,,,change mapping to CL 14671607
30097140,344,,,change mapping to CL 30097140
30005548,350,,,change mapping to CL 30005548
30031177,353,,,change mapping to CL 30031177
30089844,375,,,change mapping to CL 30089844
7257489,377,,,change mapping to CL 7257489
30012612,379,,,change mapping to CL 30012612
30034345,397,,,change mapping to CL 30034345
30034345,405,,,change mapping to CL 30034345
30098910,414,,,change mapping to CL 30098910
30013725,427,,,change mapping to CL 30013725
30038063,439,,,change mapping to CL 30038063
20052389,442,,,change mapping to CL 20052389
30020514,448,,,change mapping to CL 30020514
30101335,450,,,change mapping to CL 30101335
30092835,471,,,change mapping to CL 30092835
30001213,483,,,change mapping to CL 30001213
30000721,487,,,change mapping to CL 30000721
906898,493,,,change mapping to CL 906898
30095427,504,,,change mapping to CL 30095427
30095427,510,,,change mapping to CL 30095427
20092034,521,,,change mapping to CL 20092034
30057972,524,,,change mapping to CL 30057972
30020256,526,,,change mapping to CL 30020256
438861,527,,,change mapping to CL 438861
30001128,540,,,change mapping to CL 30001128
20044321,547,,,change mapping to CL 20044321
30092197,551,,,change mapping to CL 30092197
20045367,553,,,change mapping to CL 20045367
30023253,554,,,change mapping to CL 30023253
30001128,560,,,change mapping to CL 30001128
30000713,561,,,change mapping to CL 30000713
30001161,563,,,change mapping to CL 30001161
30092193,574,,,change mapping to CL 30092193
30092197,575,,,change mapping to CL 30092197
30023253,585,,,change mapping to CL 30023253
30092464,591,,,change mapping to CL 30092464
20141932,600,,,change mapping to CL 20141932
20048746,601,,,change mapping to CL 20048746
20141932,602,,,change mapping to CL 20141932
20058417,610,,,change mapping to CL 20058417
30074729,612,,,change mapping to CL 30074729
30055872,617,,,change mapping to CL 30055872
30074729,628,,,change mapping to CL 30074729
20110552,634,,,change mapping to CL 20110552
20139610,636,,,change mapping to CL 20139610
30073468,638,,,change mapping to CL 30073468
20043182,642,,,change mapping to CL 20043182
20040960,645,,,change mapping to CL 20040960
30078906,650,,,change mapping to CL 30078906
30073761,656,,,change mapping to CL 30073761
30073937,664,,,change mapping to CL 30073937
20041008,669,,,change mapping to CL 20041008
30020840,673,,,change mapping to CL 30020840
439282,675,,,change mapping to CL 439282
439282,676,,,change mapping to CL 439282
30004270,683,,,change mapping to CL 30004270
30073937,684,,,change mapping to CL 30073937
30102887,687,,,change mapping to CL 30102887
30102887,689,,,change mapping to CL 30102887
30078912,694,,,change mapping to CL 30078912
20101797,696,,,change mapping to CL 20101797
30001838,706,,,change mapping to CL 30001838
30001948,725,,,change mapping to CL 30001948
20112786,729,,,change mapping to CL 20112786
30001937,732,,,change mapping to CL 30001937
20052389,736,,,change mapping to CL 20052389
20105764,740,,,change mapping to CL 20105764
30076788,743,,,change mapping to CL 30076788
30088393,756,,,change mapping to CL 30088393
30006898,770,,,change mapping to CL 30006898
30058630,771,,,change mapping to CL 30058630
30083354,783,,,change mapping to CL 30083354
20048292,786,,,change mapping to CL 20048292
20048292,787,,,change mapping to CL 20048292
30069646,791,,,change mapping to CL 30069646
30102654,803,,,change mapping to CL 30102654
30088447,805,,,change mapping to CL 30088447
30058630,819,,,change mapping to CL 30058630
30016130,822,,,change mapping to CL 30016130
30021784,834,,,change mapping to CL 30021784
30065733,835,,,change mapping to CL 30065733
30004074,838,,,change mapping to CL 30004074
30004074,840,,,change mapping to CL 30004074
30021754,842,,,change mapping to CL 30021754
30018111,843,,,change mapping to CL 30018111
30073994,845,,,change mapping to CL 30073994
30087988,846,,,change mapping to CL 30087988
30021327,849,,,change mapping to CL 30021327
30016282,852,,,change mapping to CL 30016282
1146926,857,,,change mapping to CL 1146926
12347485,859,,,change mapping to CL 12347485
20102845,861,,,change mapping to CL 20102845
30082883,862,,,change mapping to CL 30082883
12347485,863,,,change mapping to CL 12347485
14255077,865,,,change mapping to CL 14255077
30006410,866,,,change mapping to CL 30006410
20044187,868,,,change mapping to CL 20044187
30097067,885,,,change mapping to CL 30097067
30015421,895,,,change mapping to CL 30015421
20054940,896,,,change mapping to CL 20054940
20117646,905,,,change mapping to CL 20117646
30085237,911,,,change mapping to CL 30085237
30095146,927,,,change mapping to CL 30095146
30005367,931,,,change mapping to CL 30005367
30044054,938,,,change mapping to CL 30044054
30004522,943,,,change mapping to CL 30004522
30007946,957,,,change mapping to CL 30007946
30001173,970,,,change mapping to CL 30001173
30092053,980,,,change mapping to CL 30092053
30092281,982,,,change mapping to CL 30092281
20053150,983,,,change mapping to CL 20053150
20050749,986,,,change mapping to CL 20050749
30002262,998,,,change mapping to CL 30002262
30020038,1005,,,change mapping to CL 30020038
20050470,1009,,,change mapping to CL 20050470
20258379,1020,,,change mapping to CL 20258379
30066498,1028,,,change mapping to CL 30066498
20154544,1032,,,change mapping to CL 20154544
30064505,1035,,,change mapping to CL 30064505
30040259,1064,,,change mapping to CL 30040259
20042358,1079,,,change mapping to CL 20042358
30066143,1093,,,change mapping to CL 30066143
30073960,1098,,,change mapping to CL 30073960
30073960,1099,,,change mapping to CL 30073960
649,1106,,,change mapping to CL 649
649,1109,,,change mapping to CL 649
20098087,1113,,,change mapping to CL 20098087
20041822,1119,,,change mapping to CL 20041822
30042323,1120,,,change mapping to CL 30042323
30063351,1121,,,change mapping to CL 30063351
30062058,1124,,,change mapping to CL 30062058
30075151,1131,,,change mapping to CL 30075151
20139592,1133,,,change mapping to CL 20139592
20139592,1135,,,change mapping to CL 20139592
30099037,1151,,,change mapping to CL 30099037
30099038,1154,,,change mapping to CL 30099038
30003690,1156,,,change mapping to CL 30003690
30004008,1185,,,change mapping to CL 30004008
30076029,1189,,,change mapping to CL 30076029
30067121,1192,,,change mapping to CL 30067121
30004182,1215,,,change mapping to CL 30004182
30081634,1218,,,change mapping to CL 30081634
30081693,1219,,,change mapping to CL 30081693
908113,1247,,,change mapping to CL 908113
30099038,1282,,,change mapping to CL 30099038
20149476,1287,,,change mapping to CL 20149476
30006420,1295,,,change mapping to CL 30006420
8879,1310,,,change mapping to CL 8879
8879,1311,,,change mapping to CL 8879
30094090,1315,,,change mapping to CL 30094090
1141537,1316,,,change mapping to CL 1141537
20044422,1317,,,change mapping to CL 20044422
20052707,1318,,,change mapping to CL 20052707
30006876,1321,,,change mapping to CL 30006876
910416,1325,,,change mapping to CL 910416
910416,1326,,,change mapping to CL 910416
30030603,1335,,,change mapping to CL 30030603
30004875,1345,,,change mapping to CL 30004875
30004881,1346,,,change mapping to CL 30004881
30004871,1347,,,change mapping to CL 30004871
106971,1355,,,change mapping to CL 106971
439196,1366,,,change mapping to CL 439196
30073545,1374,,,change mapping to CL 30073545
30005471,1380,,,change mapping to CL 30005471
30059375,1381,,,change mapping to CL 30059375
20041479,1391,,,change mapping to CL 20041479
30013029,1396,,,change mapping to CL 30013029
106971,1408,,,change mapping to CL 106971
106971,1410,,,change mapping to CL 106971
30102625,1412,,,change mapping to CL 30102625
20362226,1413,,,change mapping to CL 20362226
30002365,1414,,,change mapping to CL 30002365
30005221,1416,,,change mapping to CL 30005221
30063121,1418,,,change mapping to CL 30063121
9344467,1422,,,change mapping to CL 9344467
30002406,1423,,,change mapping to CL 30002406
20080167,1424,,,change mapping to CL 20080167
30073545,1428,,,change mapping to CL 30073545
20091649,1449,,,change mapping to CL 20091649
30005471,1451,,,change mapping to CL 30005471
20362226,1458,,,change mapping to CL 20362226
30014062,1464,,,change mapping to CL 30014062
20041068,1467,,,change mapping to CL 20041068
30058815,1468,,,change mapping to CL 30058815
20041479,1470,,,change mapping to CL 20041479
30040107,1505,,,change mapping to CL 30040107
30087170,1507,,,change mapping to CL 30087170
30036500,1508,,,change mapping to CL 30036500
30012667,1512,,,change mapping to CL 30012667
30066340,1520,,,change mapping to CL 30066340
20042173,1532,,,change mapping to CL 20042173
30001688,1543,,,change mapping to CL 30001688
30037111,1545,,,change mapping to CL 30037111
30037111,1546,,,change mapping to CL 30037111
20052186,1559,,,change mapping to CL 20052186
20050727,1564,,,change mapping to CL 20050727
20161371,1565,,,change mapping to CL 20161371
436631,1568,,,change mapping to CL 436631
436631,1569,,,change mapping to CL 436631
30007605,1572,,,change mapping to CL 30007605
14228166,1583,,,change mapping to CL 14228166
20045619,1598,,,change mapping to CL 20045619
20059039,1601,,,change mapping to CL 20059039
20052990,1606,,,change mapping to CL 20052990
30028414,1608,,,change mapping to CL 30028414
30023164,1618,,,change mapping to CL 30023164
30023164,1619,,,change mapping to CL 30023164
30076098,1634,,,change mapping to CL 30076098
30064462,1638,,,change mapping to CL 30064462
20050727,1641,,,change mapping to CL 20050727
436101,1649,,,change mapping to CL 436101
436101,1658,,,change mapping to CL 436101
20043744,1660,,,change mapping to CL 20043744
30067030,1666,,,change mapping to CL 30067030
30077398,1672,,,change mapping to CL 30077398
30077398,1673,,,change mapping to CL 30077398
30014930,1677,,,change mapping to CL 30014930
30073902,1679,,,change mapping to CL 30073902
20051519,1682,,,change mapping to CL 20051519
30014930,1684,,,change mapping to CL 30014930
20166259,1702,,,change mapping to CL 20166259
20237162,1707,,,change mapping to CL 20237162
30021445,1710,,,change mapping to CL 30021445
20051519,1719,,,change mapping to CL 20051519
30069326,1726,,,change mapping to CL 30069326
20050549,1729,,,change mapping to CL 20050549
20050549,1730,,,change mapping to CL 20050549
30037801,1743,,,change mapping to CL 30037801
30096170,1751,,,change mapping to CL 30096170
30068017,1755,,,change mapping to CL 30068017
20112928,1764,,,change mapping to CL 20112928
30096169,1765,,,change mapping to CL 30096169
30074391,1781,,,change mapping to CL 30074391
20103146,1786,,,change mapping to CL 20103146
30074478,1793,,,change mapping to CL 30074478
30015106,1805,,,change mapping to CL 30015106
30018012,1825,,,change mapping to CL 30018012
20061060,1833,,,change mapping to CL 20061060
20061060,1834,,,change mapping to CL 20061060
30078035,1844,,,change mapping to CL 30078035
14230407,1854,,,change mapping to CL 14230407
20050465,1861,,,change mapping to CL 20050465
20141049,1898,,,change mapping to CL 20141049
30057316,1908,,,change mapping to CL 30057316
30089551,1928,,,change mapping to CL 30089551
20061060,1937,,,change mapping to CL 20061060
30004432,1947,,,change mapping to CL 30004432
30004678,1956,,,change mapping to CL 30004678
30098397,1960,,,change mapping to CL 30098397
11533920,1973,,,change mapping to CL 11533920
20140757,1979,,,change mapping to CL 20140757
20111024,2000,,,change mapping to CL 20111024
20041307,2006,,,change mapping to CL 20041307
20110574,2017,,,change mapping to CL 20110574
20234048,2039,,,change mapping to CL 20234048
30093418,2100,,,change mapping to CL 30093418
30000677,2105,,,change mapping to CL 30000677
30015011,2106,,,change mapping to CL 30015011
30064634,2109,,,change mapping to CL 30064634
30062848,2116,,,change mapping to CL 30062848
20054775,2118,,,change mapping to CL 20054775
20051778,2121,,,change mapping to CL 20051778
20050262,2122,,,change mapping to CL 20050262
20050262,2124,,,change mapping to CL 20050262
20050392,2134,,,change mapping to CL 20050392
30095036,2139,,,change mapping to CL 30095036
20050407,2143,,,change mapping to CL 20050407
20050407,2147,,,change mapping to CL 20050407
30009200,2148,,,change mapping to CL 30009200
30039482,2178,,,change mapping to CL 30039482
30005754,2182,,,change mapping to CL 30005754
30009337,2195,,,change mapping to CL 30009337
30072721,2197,,,change mapping to CL 30072721
30072721,2198,,,change mapping to CL 30072721
30071559,2206,,,change mapping to CL 30071559
30071299,2208,,,change mapping to CL 30071299
30018013,2237,,,change mapping to CL 30018013
30040425,2244,,,change mapping to CL 30040425
20119980,2250,,,change mapping to CL 20119980
30096515,2268,,,change mapping to CL 30096515
112765,2276,,,change mapping to CL 112765
30075863,2283,,,change mapping to CL 30075863
20146725,2307,,,change mapping to CL 20146725
30099333,2313,,,change mapping to CL 30099333
20233959,2332,,,change mapping to CL 20233959
30044624,2336,,,change mapping to CL 30044624
30018925,2337,,,change mapping to CL 30018925
30018925,2338,,,change mapping to CL 30018925
30100087,2343,,,change mapping to CL 30100087
437459,2348,,,change mapping to CL 437459
30053129,2350,,,change mapping to CL 30053129
30095387,2353,,,change mapping to CL 30095387
30006234,2354,,,change mapping to CL 30006234
30093361,2381,,,change mapping to CL 30093361
30058626,2386,,,change mapping to CL 30058626
30076630,2397,,,change mapping to CL 30076630
20161257,2418,,,change mapping to CL 20161257
30076024,2428,,,change mapping to CL 30076024
30042423,2431,,,change mapping to CL 30042423
30042423,2432,,,change mapping to CL 30042423
20141745,2442,,,change mapping to CL 20141745
30058626,2461,,,change mapping to CL 30058626
30098918,2464,,,change mapping to CL 30098918
30012372,2476,,,change mapping to CL 30012372
20161257,2484,,,change mapping to CL 20161257
30012607,2488,,,change mapping to CL 30012607
30098920,2490,,,change mapping to CL 30098920
30065238,2509,,,change mapping to CL 30065238
30065049,2510,,,change mapping to CL 30065049
30008171,2512,,,change mapping to CL 30008171
20112943,2527,,,change mapping to CL 20112943
30012728,2533,,,change mapping to CL 30012728
3369767,2534,,,change mapping to CL 3369767
30031099,2535,,,change mapping to CL 30031099
3369767,2541,,,change mapping to CL 3369767
30100064,2542,,,change mapping to CL 30100064
30100064,2552,,,change mapping to CL 30100064
30059933,2555,,,change mapping to CL 30059933
30024615,2570,,,change mapping to CL 30024615
30067840,2571,,,change mapping to CL 30067840
30064879,2580,,,change mapping to CL 30064879
30021217,2581,,,change mapping to CL 30021217
30059933,2582,,,change mapping to CL 30059933
30073908,2585,,,change mapping to CL 30073908
30000487,2589,,,change mapping to CL 30000487
30032971,2603,,,change mapping to CL 30032971
30001195,2616,,,change mapping to CL 30001195
30007286,2628,,,change mapping to CL 30007286
30006755,2653,,,change mapping to CL 30006755
440499,2658,,,change mapping to CL 440499
30006793,2671,,,change mapping to CL 30006793
30006755,2675,,,change mapping to CL 30006755
4723654,2686,,,change mapping to CL 4723654
439138,2688,,,change mapping to CL 439138
30006935,2703,,,change mapping to CL 30006935
30007770,2714,,,change mapping to CL 30007770
30007770,2716,,,change mapping to CL 30007770
30020059,2730,,,change mapping to CL 30020059
20050431,2739,,,change mapping to CL 20050431
20050431,2745,,,change mapping to CL 20050431
20040282,2755,,,change mapping to CL 20040282
30076788,2761,,,change mapping to CL 30076788
20234082,2800,,,change mapping to CL 20234082
11485087,2804,,,change mapping to CL 11485087
11485087,2812,,,change mapping to CL 11485087
10133024,2819,,,change mapping to CL 10133024
20040507,2831,,,change mapping to CL 20040507
20234082,2832,,,change mapping to CL 20234082
30020521,2841,,,change mapping to CL 30020521
20050836,2864,,,change mapping to CL 20050836
30089364,2883,,,change mapping to CL 30089364
14668493,2884,,,change mapping to CL 14668493
107897,2888,,,change mapping to CL 107897
20050652,2893,,,change mapping to CL 20050652
107897,2894,,,change mapping to CL 107897
30019937,2901,,,change mapping to CL 30019937
30000493,2910,,,change mapping to CL 30000493
30020545,2914,,,change mapping to CL 30020545
30093971,2920,,,change mapping to CL 30093971
30093971,2923,,,change mapping to CL 30093971
30001996,2937,,,change mapping to CL 30001996
20154558,2941,,,change mapping to CL 20154558
20051471,2948,,,change mapping to CL 20051471
20154540,2950,,,change mapping to CL 20154540
107532,2955,,,change mapping to CL 107532
30066159,2965,,,change mapping to CL 30066159
30096581,2967,,,change mapping to CL 30096581
20105581,2986,,,change mapping to CL 20105581
20105539,2987,,,change mapping to CL 20105539
20154557,2999,,,change mapping to CL 20154557
30008318,3002,,,change mapping to CL 30008318
20105568,3005,,,change mapping to CL 20105568
20154558,3027,,,change mapping to CL 20154558
30075992,3049,,,change mapping to CL 30075992
20230203,3057,,,change mapping to CL 20230203
20164343,3059,,,change mapping to CL 20164343
20259494,3079,,,change mapping to CL 20259494
30094180,3106,,,change mapping to CL 30094180
30011526,3112,,,change mapping to CL 30011526
30094180,3121,,,change mapping to CL 30094180
20042723,3125,,,change mapping to CL 20042723
20364201,3126,,,change mapping to CL 20364201
20052436,3154,,,change mapping to CL 20052436
30018905,3166,,,change mapping to CL 30018905
20054564,3168,,,change mapping to CL 20054564
20054568,3169,,,change mapping to CL 20054568
30085893,3172,,,change mapping to CL 30085893
30085896,3173,,,change mapping to CL 30085896
30022069,3182,,,change mapping to CL 30022069
30022075,3183,,,change mapping to CL 30022075
30073989,3189,,,change mapping to CL 30073989
30023559,3192,,,change mapping to CL 30023559
20055090,3202,,,change mapping to CL 20055090
30061518,3220,,,change mapping to CL 30061518
30065488,3234,,,change mapping to CL 30065488
20112786,3235,,,change mapping to CL 20112786
30058963,3237,,,change mapping to CL 30058963
20051674,3238,,,change mapping to CL 20051674
14668493,3242,,,change mapping to CL 14668493
14668493,3243,,,change mapping to CL 14668493
107532,3248,,,change mapping to CL 107532
30060049,3249,,,change mapping to CL 30060049
30060049,3251,,,change mapping to CL 30060049
30030409,3266,,,change mapping to CL 30030409
30011654,3275,,,change mapping to CL 30011654
30022993,3277,,,change mapping to CL 30022993
30087992,3281,,,change mapping to CL 30087992
30053063,3316,,,change mapping to CL 30053063
20040634,3349,,,change mapping to CL 20040634
20055791,3367,,,change mapping to CL 20055791
444991,3381,,,change mapping to CL 444991
444426,3386,,,change mapping to CL 444426
5568478,3387,,,change mapping to CL 5568478
444991,3392,,,change mapping to CL 444991
444991,3393,,,change mapping to CL 444991
20055791,3395,,,change mapping to CL 20055791
14246094,3396,,,change mapping to CL 14246094
30003266,3425,,,change mapping to CL 30003266
20112620,3432,,,change mapping to CL 20112620
20058417,3443,,,change mapping to CL 20058417
30097067,3453,,,change mapping to CL 30097067
30019790,3460,,,change mapping to CL 30019790
30062615,3462,,,change mapping to CL 30062615
30062621,3463,,,change mapping to CL 30062621
30042323,3467,,,change mapping to CL 30042323
30010748,3468,,,change mapping to CL 30010748
30062058,3472,,,change mapping to CL 30062058
20061130,3506,,,change mapping to CL 20061130
30033763,3509,,,change mapping to CL 30033763
20149476,3510,,,change mapping to CL 20149476
14308141,3512,,,change mapping to CL 14308141
907874,3514,,,change mapping to CL 907874
30005990,3517,,,change mapping to CL 30005990
30079400,3520,,,change mapping to CL 30079400
30029635,3530,,,change mapping to CL 30029635
907874,3541,,,change mapping to CL 907874
20052541,3552,,,change mapping to CL 20052541
20059039,3564,,,change mapping to CL 20059039
30073850,3573,,,change mapping to CL 30073850
20040308,3575,,,change mapping to CL 20040308
30073850,3583,,,change mapping to CL 30073850
10618658,3597,,,change mapping to CL 10618658
30075995,3607,,,change mapping to CL 30075995
20042208,3620,,,change mapping to CL 20042208
10158856,3627,,,change mapping to CL 10158856
11467214,3636,,,change mapping to CL 11467214
20164729,3660,,,change mapping to CL 20164729
11467214,3662,,,change mapping to CL 11467214
30056202,3671,,,change mapping to CL 30056202
30068017,3680,,,change mapping to CL 30068017
30040979,3681,,,change mapping to CL 30040979
20164338,3731,,,change mapping to CL 20164338
20042524,3750,,,change mapping to CL 20042524
20042524,3751,,,change mapping to CL 20042524
20029651,3761,,,change mapping to CL 20029651
20042302,3769,,,change mapping to CL 20042302
20231260,3774,,,change mapping to CL 20231260
20231260,3775,,,change mapping to CL 20231260
30007398,3777,,,change mapping to CL 30007398
30007398,3778,,,change mapping to CL 30007398
20037221,3779,,,change mapping to CL 20037221
20037221,3780,,,change mapping to CL 20037221
20042519,3785,,,change mapping to CL 20042519
20042519,3786,,,change mapping to CL 20042519
20040806,3788,,,change mapping to CL 20040806
20040806,3790,,,change mapping to CL 20040806
20041154,3792,,,change mapping to CL 20041154
20041154,3793,,,change mapping to CL 20041154
30058963,3798,,,change mapping to CL 30058963
30021296,3800,,,change mapping to CL 30021296
30021296,3801,,,change mapping to CL 30021296
30021889,3817,,,change mapping to CL 30021889
30021889,3822,,,change mapping to CL 30021889
20041175,3824,,,change mapping to CL 20041175
20041175,3825,,,change mapping to CL 20041175
30013725,3898,,,change mapping to CL 30013725
30013725,3899,,,change mapping to CL 30013725
30008718,3903,,,change mapping to CL 30008718
30008718,3904,,,change mapping to CL 30008718
30006575,3905,,,change mapping to CL 30006575
20043984,3918,,,change mapping to CL 20043984
30018012,3922,,,change mapping to CL 30018012
14677598,6522,,,change mapping to CL 14677598
30000632,6558,,,change mapping to CL 30000632
30073908,6559,,,change mapping to CL 30073908
30015320,7200,,,change mapping to CL 30015320
30057316,7227,,,change mapping to CL 30057316
14189397,7777,,,change mapping to CL 14189397
30093857,11420,,,change mapping to CL 30093857
30093857,11421,,,change mapping to CL 30093857
30093851,11457,,,change mapping to CL 30093851
30093851,11458,,,change mapping to CL 30093851
30096124,11482,,,change mapping to CL 30096124
14043619,11503,,,change mapping to CL 14043619
30089220,11504,,,change mapping to CL 30089220
30089220,11505,,,change mapping to CL 30089220
30089073,11506,,,change mapping to CL 30089073
30089073,11507,,,change mapping to CL 30089073
20056811,11519,,,change mapping to CL 20056811
30007409,11532,,,change mapping to CL 30007409
30007409,11533,,,change mapping to CL 30007409
20089869,11577,,,change mapping to CL 20089869
20089869,11578,,,change mapping to CL 20089869
30054751,11583,,,change mapping to CL 30054751
30070330,11587,,,change mapping to CL 30070330
30070330,11588,,,change mapping to CL 30070330
30097495,11589,,,change mapping to CL 30097495
30097495,11590,,,change mapping to CL 30097495
30074644,11605,,,change mapping to CL 30074644
30077954,11612,,,change mapping to CL 30077954
30077954,11613,,,change mapping to CL 30077954
30103061,11655,,,change mapping to CL 30103061
14185529,11945,,,change mapping to CL 14185529
30095688,12313,,,change mapping to CL 30095688
20154394,12445,,,change mapping to CL 20154394
20154394,12446,,,change mapping to CL 20154394
30063269,12493,,,change mapping to CL 30063269
30063269,12494,,,change mapping to CL 30063269
30098875,12495,,,change mapping to CL 30098875
30098875,12501,,,change mapping to CL 30098875
20050652,12520,,,change mapping to CL 20050652
20042229,12627,,,change mapping to CL 20042229
20042229,12628,,,change mapping to CL 20042229
30029984,12771,,,change mapping to CL 30029984
30029984,12772,,,change mapping to CL 30029984
30073848,12800,,,change mapping to CL 30073848
30021754,12831,,,change mapping to CL 30021754
13971323,12913,,,change mapping to CL 13971323
20146477,12927,,,change mapping to CL 20146477
13971323,12938,,,change mapping to CL 13971323
20041852,12979,,,change mapping to CL 20041852
20041852,12980,,,change mapping to CL 20041852
20042068,12987,,,change mapping to CL 20042068
20042068,12988,,,change mapping to CL 20042068
30096310,13067,,,change mapping to CL 30096310
30096310,13068,,,change mapping to CL 30096310
30079871,13077,,,change mapping to CL 30079871
30079871,13078,,,change mapping to CL 30079871
20043601,13079,,,change mapping to CL 20043601
20043601,13080,,,change mapping to CL 20043601
20045801,13098,,,change mapping to CL 20045801
20045801,13099,,,change mapping to CL 20045801
20091548,13110,,,change mapping to CL 20091548
20091548,13111,,,change mapping to CL 20091548
20112064,13158,,,change mapping to CL 20112064
20112064,13159,,,change mapping to CL 20112064
30004891,13226,,,change mapping to CL 30004891
30004891,13227,,,change mapping to CL 30004891
30022828,13269,,,change mapping to CL 30022828
30022828,13270,,,change mapping to CL 30022828
20038964,13291,,,change mapping to CL 20038964
20038964,13292,,,change mapping to CL 20038964
20090028,13303,,,change mapping to CL 20090028
20090028,13304,,,change mapping to CL 20090028
20121467,13332,,,change mapping to CL 20121467
20121467,13333,,,change mapping to CL 20121467
20041565,13398,,,change mapping to CL 20041565
20041565,13399,,,change mapping to CL 20041565
30043636,13423,,,change mapping to CL 30043636
20028248,13441,,,change mapping to CL 20028248
20028248,13442,,,change mapping to CL 20028248
20079004,13449,,,change mapping to CL 20079004
20079004,13450,,,change mapping to CL 20079004
20059721,13489,,,change mapping to CL 20059721
20059721,13490,,,change mapping to CL 20059721
20062285,13534,,,change mapping to CL 20062285
20062285,13535,,,change mapping to CL 20062285
30063044,13579,,,change mapping to CL 30063044
